dataset,accuracy,kernel,sample_rate,sensors,preprocessing
data,0.9125,linear,100,all,stats_fft
data,0.9125,linear,100,all,stats
data,0.8875,rbf,20,acc,stats_fft
data,0.8875,rbf,100,all,stats_fft
data,0.875,linear,20,all,stats
data,0.875,rbf,20,acc,stats
data,0.875,linear,20,all,stats_fft
data,0.875,rbf,20,all,stats_fft
data,0.8625,rbf,20,all,stats
data,0.85,rbf,100,all,stats
data,0.8375,rbf,100,acc,stats_fft
data,0.8375,rbf,100,acc,stats
data,0.8,linear,20,acc,stats_fft
data,0.7875,linear,20,acc,stats
data,0.7875,linear,100,acc,stats_fft
data,0.7625,linear,100,acc,stats
data,0.725,rbf,100,gyro,stats_fft
data,0.6375,linear,20,gyro,stats_fft
data,0.625,linear,100,gyro,stats_fft
data,0.5875,rbf,100,gyro,stats
data,0.5625,rbf,20,gyro,stats_fft
data,0.55,rbf,20,gyro,stats
data,0.475,linear,20,gyro,stats
data,0.4625,linear,100,gyro,stats
